file_path,label,label_id,duration_sec,sample_rate
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Prolongations/Audio_68.wav,prolongations,3,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Fluent/Audio_89.wav,fluent,0,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Fluent/Audio_98.wav,fluent,0,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Blocks/Audio_18.wav,blocks,1,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Prolongations/Audio_55.wav,prolongations,3,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Fluent/Audio_16.wav,fluent,0,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Fluent/Audio_97.wav,fluent,0,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Blocks/Audio_38.wav,blocks,1,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Repetitions/Part-word repetition/Audio_21.wav,part_word_repetition,4,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Blocks/KFHU30.wav,blocks,1,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Repetitions/Part-word repetition/43.2.wav,part_word_repetition,4,7.0,44100
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Repetitions/Part-word repetition/Audio_66.wav,part_word_repetition,4,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Prolongations/41.2.wav,prolongations,3,3.35,44100
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Blocks/Audio_12.wav,blocks,1,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Blocks/04.2.wav,blocks,1,3.35,44100
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Fluent/Audio_61.wav,fluent,0,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Repetitions/Part-word repetition/KFUH01.1.wav,part_word_repetition,4,3.05,44100
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Repetitions/Part-word repetition/KFHU44.wav,part_word_repetition,4,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Repetitions/Part-word repetition/Audio_70.wav,part_word_repetition,4,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Repetitions/Part-word repetition/KFHU62.wav,part_word_repetition,4,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Repetitions/Part-word repetition/KFHU23.wav,part_word_repetition,4,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Prolongations/KFHU31.wav,prolongations,3,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Repetitions/Word repetition/11.2.wav,word_repetition,6,5.4,44100
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Blocks/KFHU42.2.wav,blocks,1,6.8,44100
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Repetitions/Word repetition/KFHU05.wav,word_repetition,6,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Fluent/Audio_17.wav,fluent,0,10.0,16000
/home/ali/projects/stuttering-ai-system/ai/dataset/raw/Fluent/Audio_105.wav,fluent,0,10.0,16000
